,code,name,description,weight
0,10013,0011 Фисташки 50г,40020,50.0
1,10014,0012 Фундук 50г,41021,50.0
2,10035,0008 Кешью 50г,41034,50.0
3,10153,0009 Кешью жареный 50г,40099,50.0
4,10011,0007 Грецкий орех 50г,41018,50.0
5,10012,0010 Миндаль 50г,41019,50.0
6,10060,0013 Ореховая смесь 50г,25069,50.0
7,10061,0015 Сухофруктовая смесь 75г,25071,75.0
8,10062,0014 Орехово-фруктовая смесь 75г,25072,75.0
9,22241,0018 120г Смесь сухофруктовая стакан,25071,120.0
10,22240,0016 120г Смесь ореховая стакан,25069,120.0
11,22242,0017 120г Смесь орехо-фруктовая стакан,25072,120.0
12,23141,0020 200г Смесь орехо-фруктовая стакан,25072,200.0
13,23139,0019 200г Смесь ореховая стакан,25069,200.0
14,23140,0021 200г Смесь сухофруктовая стакан,25071,200.0
15,20240,0022 120 г Фисташки Premium,40044,120.0
16,20147,0026 Изюм черный премиум 130г стакан,40134,130.0
17,20148,0025 Изюм белый премиум 130г стакан,40116,130.0
18,20149,0024 Банан чипсы 90г стакан,40055,90.0
19,20150,0023 Ананас сушеный кубик 150г стакан,40053,150.0
20,20239,0027 Кокосовые чипсы стакан 60г,40243,60.0
21,20055,130 г Макадамский орех,40081,130.0
22,21129,0032 Макадамский орех 200г стакан,40081,200.0
23,21056,0033 Манго сушеное 200г,40174,200.0
24,21057,0034 Папайя сушеная 200г,40219,200.0
25,21121,0028 Ананас сушеный кольца 150г стакан,40075,150.0
26,21123,0029 Ананас сушеный палочки 200г стакан,40114,200.0
27,21138,0031 Инжир 250г стакан,40089,250.0
28,21126,0036 Чернослив сушеный без косточки 250г стакан,40040,250.0
29,21127,0030 Курага 200г стакан,40041,200.0
30,21128,0035 Финики сушеные 200г стакан,40074,200.0
31,41105,Новват,,0.0
32,40182,0038 Рахат лукум 3кг,,0.0
33,41153,Инжир 200г,,0.0
34,40195,0037 Козинак ассорти 4 вида,,0.0
35,40273,Козинак подсолнечник 150г,,0.0
36,40275,Козинак арахис 150г,,0.0
37,40274,Козинак кунжут 150г,,0.0
38,40091,0039 Чуч-хела ассорти,,0.0
39,40205,0041 Сера лиственная 30шт,,0.0
40,40093,0040 Бананы сушеные 100г,,0.0
41,40098,"0042 Халва Самарканд 0,4",,0.0
42,40191,0043 Кедровый орех очищеный в/у 100г,,0.0
43,40081,Макадамский орех,,0.0
44,41034,Кешью,,0.0
45,41018,Орех грецкий очищеный,,0.0
46,40044,Фисташки США Натуральные,,0.0
47,41019,Миндаль золотой,,0.0
48,41021,Фундук очищенный крупный,,0.0
49,40075,Ананас натуральный кольца,,2.0
50,40219,Папайя сушеная,,5.0
51,40174,Манго сушеное,,5.0
52,40074,Финики крупные,,10.0
53,40114,Ананас палочки,,2.0
54,40243,Кокосовые чипсы,,0.0
55,40116,Изюм белый крупный,,0.0
56,40055,Банан чипсы,,6.8
57,40056,Вишня вяленая,,0.0
58,40134,Изюм черный крупный,,0.0
59,40039,Компотная смесь,,0.0
60,40040,Чернослив,,0.0
61,40053,Ананас кубик,,5.0
62,40041,Курага отборная,,10.0
63,40089,Инжир натуральный,,0.0
64,40054,Курага монетка экстра,,5.0
65,40042,Изюм Голден,,0.0
66,25069,Смесь Ореховая весовая,,0.0
67,25072,Смесь орехово-фруктовая весовая,,0.0
68,25071,Смесь сухофруктовая весовая,,0.0
69,41127,Бадьян,,0.0
70,40185,0045 Арахис в жженом сахаре,,0.0
71,40187,0044 Абрикосовые косточки,,0.0
72,40233,Фисташки Турция,,0.0
73,41128,Корица палочки,,0.0
74,40163,Пекан неочищеный,,0.0
75,40226,Фисташка таджикская жареная желтая,,0.0
76,41099,Фисташки очищенные,,0.0
77,41093,Орех грецкий неочищенный,,0.0
78,40190,0048 Пекан очищеный,,0.0
79,41123,Фундук очищенный бланшированный,,0.0
80,40223,Тыквенные семечки,,0.0
81,40228,Миндаль в кунжуте сладкий,,0.0
82,40234,Семечки крупные,,0.0
83,40161,Арахис индийский,,0.0
84,40224,0049 Тыквенные семечки очищенные,,0.0
85,40235,0046 Арахис жареный,,0.0
86,40099,Кешью жареный,,0.0
87,40189,Грецкий орех в скорлупе гигант,,0.0
88,40225,Миндаль в скорлупе,,0.0
89,41100,Грецкий орех в скорлупе. Чили,,0.0
90,40237,Миндаль в скорлупе жареный,,0.0
91,41103,Кедровый орех очищенный весовой,,0.0
92,40162,Арахис жареный соленый,,0.0
93,41107,Грецкий орех очищенный. Чили,,0.0
94,40196,0047 Бразильский орех очищеный,,0.0
95,41096,Фундук белый жареный,,0.0
96,40057,Арахис в глазури разноцветный,,0.0
97,41126,Арахис в скорлупе,,0.0
98,40058,Арахис в кунжуте,,0.0
99,40020,Фисташки Иран Натуральные,,0.0
100,41098,Семечки очищенные,,0.0
101,40230,Миндаль жареный,,0.0
102,40231,Фундук в скорлупе,,0.0
103,40137,Кумкват лайм,,0.0
104,40218,Финики без косточки,,0.0
105,40043,Изюм коричневый,,0.0
106,41134,Чернослив крупный,,0.0
107,40171,Курага Premium,,0.0
108,40227,Кизил,,0.0
109,40179,Клюква в шоколаде,,0.0
110,40198,Шиповник,,0.0
111,40220,Груша вяленая,,0.0
112,41129,"Чернослив в банке 0,5кг",,0.0
113,40221,Яблоко вяленое,,0.0
114,41076,Королевские финики 1кг,,0.0
115,40180,Клубника в шоколаде,,0.0
116,40160,Инжир на ветке,,0.0
117,40236,Финики арабские,,0.0
118,40222,Помело вяленое,,0.0
119,40186,Клубника вяленая,,0.0
120,41091,Курага турецкая желтая,,0.0
121,41052,Манго натуральное,,0.0
122,40213,Ананас кольцо сушеное,,0.0
123,40115,0050 Киви сушеный,,0.0
124,41094,Ананас таблетка,,0.0
125,41152,Конфеты манго кубики,,0.0
126,41124,Курага коричневая,,0.0
127,40214,Ананас листики,,0.0
128,41106,Персики сушеные,,0.0
129,41095,Изюм черный,,0.0
130,41075,"Королевские финики 0,5кг",,0.0
131,41119,Кунжут белый,,0.0
132,40215,Изюм Джамбо белый,,0.0
133,40239,Каркаде,,0.0
134,41097,Ягоды Годжи,,0.0
135,40059,Орехи в кунжуте сладкие,,0.0
136,40216,Клюква вяленая,,0.0
137,41120,Яблоки сушеные,,0.0
138,40229,Черешня вяленая,,0.0
139,40135,Кумкват лимон,,0.0
140,40136,Кумкват мандарин,,0.0
141,40184,Имбирь сахарный,,0.0
142,40217,Финики,,0.0
143,41137,0001 Мини - Брелок поп ит антистресс. Игрушка антистресс в ассортименте,,0.0
144,41163,0001 Мини брелок Хаги-Ваги в ассортименте,,0.0
145,41157,0001 Мандарин. Игрушка сжимаемая антистресс,,0.0
146,41145,Осьминожки брелок,,0.0
147,41155,3d пазлы. В ассортименте,,0.0
148,41138,Мини - Симпл Димпл брелок. Игрушка антистресс,,0.0
149,41172,0001 Лазерная указка,,0.0
150,41139,0001 Спиннер с бегущей анимацией,,0.0
151,41131,Поп ит. Игрушка антистресс,,0.0
152,41132,0002 Брелок Поп ит. Игрушка антистресс в ассортименте,,0.0
153,41149,Наушники Airpods pro,,0.0
154,41158,Яйцо динозавра. Игрушка сжимаемая антистресс,,0.0
155,41133,Симпл Димпл брелок. Игрушка антистресс,,0.0
156,41164,Игрушка пазлы деревянные,,0.0
157,41162,0001 Брелок Хаги-ваги в ассортименте,,0.0
158,41147,Снапперсы 4 вида,,0.0
159,41156,Йети. игрушка сжимаемая антистресс,,0.0
160,41159,0002 Неваляшка. Игра в кальмара (4 вида),,0.0
161,41144,Сквиш зверята,,0.0
162,41148,Сквиш ананасики,,0.0
163,41135,Снаппер. Игрушка антистресс в ассортименте,,0.0
164,41136,Браслет поп ит. Игрушка антистресс в ассортименте,,0.0
165,41146,0001 Игрушка суслик разноцветные. Игрушка-сжималка,,0.0
166,41165,0001 Горошинка. Игрушка-сжималка,,0.0
167,41166,0001 Черепашка. Игрушка-сжималка,,0.0
168,41167,0001 Печенька. Игрушка-сжималка,,0.0
169,41168,0001 Банан. Игрушка-сжималка,,0.0
170,41169,0001 Цыпленок. Игрушка-сжималка,,0.0
171,41170,0001 Свинка. Игрушка-сжималка,,0.0
172,41171,0001 Дуриан. Игрушка-сжималка,,0.0
173,7,Бухгалтерское сопровождение,,
174,102,Кредит,,0.0
175,94,Бумага Снегурочка,,0.0
176,101,Пакет,,0.0
177,131,Перчатки одноразовые,,0.0
178,78,Лицензия мой склад,,
179,41160,Подарок,,0.0
180,36,Обслуживание банка,,0.0
181,47,Налоги,,0.0
182,46,Зарплата,,
183,113,Стакан с купольной крышкой 350 мл,,0.0
184,164,"Пакеты-майка ""Спасибо за покупку""",,0.0
185,109,Пленка БОПП 40мкм 220мм,,0.0
186,120,Наклейки на стаканы,,0.0
187,119,Креманка 200мл,,0.0
188,168,Скотч,,0.0
189,108,Канцелярия,,0.0
190,104,Аренда,,0.0
191,29,Этикетка,,0.0
